                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2836,                 1.0092,                0.95325,                 1.3324,                 1.0696,                0.92463,                0.45712,                0.54622,                0.51619,                0.35745,                 1.0995,                 0.9345,                0.93112,                 1.1243,                0.91095,                0.90375,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2923,                 0.9835,                0.94298,                 1.3107,                 1.0428,                 0.9152,                0.52246,                0.59116,                0.56182,                0.38161,                 1.1254,                0.87339,                0.91992,                 1.1039,                0.81086,                0.89118,               0.008317,               0.008317,               0.008317
                     37,                 1.2183,                0.94945,                 0.9331,                  1.251,                  1.005,                0.90692,                0.76497,                0.54535,                0.58741,                 0.4105,                 1.0079,                0.78539,                0.89978,                 1.0335,                0.75266,                0.86855,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2082,                0.92998,                0.93969,                 1.2656,                0.98484,                0.91509,                0.75837,                0.59938,                0.63953,                0.46538,                0.95825,                0.77595,                0.89139,                0.94687,                0.68255,                0.85803,               0.008218,               0.008218,               0.008218
                     39,                 1.2198,                0.91533,                0.92351,                  1.273,                0.93497,                0.90464,                 0.8364,                0.54762,                0.65617,                0.48302,                0.93002,                0.73818,                0.88891,                 0.8972,                0.66244,                  0.861,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1559,                0.88073,                0.92353,                  1.178,                0.90005,                0.89704,                0.83367,                0.54647,                0.63413,                 0.4575,                0.99246,                0.77008,                0.89636,                0.97576,                0.71812,                0.86685,               0.008119,               0.008119,               0.008119
                     41,                 1.1603,                0.87912,                0.90782,                 1.2252,                 0.9105,                 0.8842,                0.61327,                0.58017,                0.65267,                0.44338,                 1.1131,                 0.9268,                  0.902,                 1.1152,                0.82687,                0.87537,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.1304,                0.88748,                0.91693,                 1.2001,                0.90425,                 0.8975,                0.77246,                0.66361,                0.74688,                0.54695,                0.91759,                0.71712,                0.87491,                0.89845,                0.61478,                0.84786,                0.00802,                0.00802,                0.00802
                     43,                 1.1051,                0.84857,                 0.9119,                 1.1641,                0.87186,                0.89354,                0.75253,                0.57167,                0.67949,                0.49027,                 1.0237,                0.87548,                0.89343,                 1.0035,                0.79367,                0.87072,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.1405,                0.85461,                0.90801,                 1.2048,                0.89176,                0.89114,                0.74864,                0.72008,                0.78823,                0.56401,                0.89479,                0.69032,                0.86627,                0.91249,                0.59818,                0.84429,               0.007921,               0.007921,               0.007921
